Team,2022,2023,Average Win Percentage
LAD,0.685,0.617,0.651
HOU,0.564,0.556,0.56
ATL,0.623,0.642,0.6325
NYY,0.611,0.506,0.5585
STC,0.574,0.438,0.506
CLE,0.568,0.469,0.5185
TOR,0.568,0.549,0.5585
SEA,0.556,0.543,0.5495
SDP,0.549,0.506,0.5275
PHI,0.537,0.556,0.5465
MIL,0.531,0.568,0.5495
TAM,0.531,0.611,0.571
BAL,0.512,0.623,0.5675
CHW,0.5,0.377,0.4385
SFG,0.5,0.488,0.494
BOS,0.481,0.481,0.481
MIN,0.481,0.537,0.509
ARI,0.457,0.519,0.488
CHC,0.457,0.512,0.4845
LAA,0.451,0.451,0.451
MIA,0.426,0.519,0.4725
COL,0.42,0.364,0.392
TEX,0.42,0.556,0.488
DET,0.407,0.481,0.444
KCR,0.401,0.346,0.3735
CIN,0.383,0.506,0.4445
PIT,0.383,0.469,0.426
OAK,0.37,0.309,0.3395
WAS,0.34,0.438,0.389